date ,value
14-04-2018,8140.71
15-04-2018,8338.42
16-04-2018,8371.15
17-04-2018,8285.96
18-04-2018,8197.8
19-04-2018,8298.69
20-04-2018,8880.23
21-04-2018,8997.57
22-04-2018,9001.64
23-04-2018,8958.55
